customerid,city,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,churn_label,churn_value,county
1320-REHCS,Inglewood,90301,33.956445,-118.358634,Male,Yes,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.75,No,0,Los Angeles County
4137-JOPHL,Inglewood,90302,33.975332,-118.355252,Female,No,No,No,50,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),89.7,No,0,Los Angeles County
7801-CEDNV,Inglewood,90304,33.936827,-118.359824,Male,No,Yes,No,27,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),48.7,No,0,Los Angeles County
2057-BOYKM,Inglewood,90305,33.958134,-118.330905,Female,Yes,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),96.6,No,0,Los Angeles County
3658-QQJYD,Santa Monica,90401,34.015481,-118.493231,Male,No,No,No,62,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),74.3,No,0,Los Angeles County
1803-BGNBD,Santa Monica,90402,34.035849,-118.503508,Female,No,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.3,No,0,Los Angeles County
0134-XWXCE,Santa Monica,90403,34.031529,-118.491156,Female,Yes,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,No,0,Los Angeles County
6950-TWMYB,Santa Monica,90404,34.026334,-118.474222,Male,No,Yes,Yes,54,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),79.95,No,0,Los Angeles County
5848-FHRFC,Santa Monica,90405,34.005439,-118.477507,Female,No,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.05,No,0,Los Angeles County
2243-FNMMI,Torrance,90501,33.833699,-118.314387,Male,No,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,No,0,Los Angeles County
2511-MORQY,Torrance,90502,33.833181,-118.292062,Male,No,Yes,No,50,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),54.9,No,0,Los Angeles County
5356-KZCKT,Torrance,90503,33.840399,-118.353714,Male,No,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.45,No,0,Los Angeles County
9470-XCCEM,Torrance,90504,33.867257,-118.330794,Male,No,Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.65,No,0,Los Angeles County
6519-CFDBX,Torrance,90505,33.807882,-118.347957,Female,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.4,No,0,Los Angeles County
3902-MIVLE,Whittier,90601,34.007353,-118.033683,Male,No,Yes,No,63,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,75.7,No,0,Los Angeles County
0409-WTMPL,Whittier,90602,33.972119,-118.020188,Female,No,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),110.65,No,0,Los Angeles County
8763-KIAFH,Whittier,90603,33.945318,-117.992066,Female,No,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.55,No,0,Los Angeles County
3669-WHAFY,Whittier,90604,33.929704,-118.01208,Female,No,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),115.15,No,0,Los Angeles County
3055-VTCGS,Whittier,90605,33.960891,-118.032222,Female,No,No,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),58.55,No,0,Los Angeles County
3144-KMTWZ,Whittier,90606,33.976678,-118.065875,Male,No,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.25,No,0,Los Angeles County
2007-QVGAW,Cypress,90630,33.818477,-118.038307,Female,No,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.35,No,0,Orange County
5207-PLSTK,La Habra,90631,33.940619,-117.9513,Male,No,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.75,No,0,Orange County
2307-FYNNL,La Mirada,90638,33.902045,-118.008961,Male,Yes,No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.05,No,0,Los Angeles County
5605-XNWEN,Montebello,90640,34.015217,-118.109962,Male,Yes,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.0,No,0,Los Angeles County
2155-AMQRX,Norwalk,90650,33.905963,-118.08263,Female,No,No,No,28,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.9,No,0,Los Angeles County
6181-AXXYF,Pico Rivera,90660,33.989524,-118.089299,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.75,No,0,Los Angeles County
5091-HFAZW,Santa Fe Springs,90670,33.933565,-118.062611,Female,No,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.15,No,0,Los Angeles County
2519-LBNQL,Artesia,90701,33.867593,-118.080637,Male,Yes,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.35,No,0,Los Angeles County
8623-ULFNQ,Cerritos,90703,33.8681,-118.067402,Female,Yes,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.05,No,0,Los Angeles County
1568-LJSZU,Harbor City,90710,33.798266,-118.300237,Male,No,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92.2,No,0,Los Angeles County
7789-HKSBS,Lakewood,90713,33.847755,-118.112532,Female,Yes,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),105.2,No,0,Los Angeles County
7416-CKTEP,Lakewood,90715,33.841027,-118.078097,Female,No,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.6,No,0,Los Angeles County
2586-CWXVV,Hawaiian Gardens,90716,33.830431,-118.074071,Male,No,Yes,No,54,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.4,No,0,Los Angeles County
2348-KCJLT,Los Alamitos,90720,33.79499,-118.065591,Female,No,Yes,No,44,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Mailed check,61.5,No,0,Orange County
8401-EMUWF,Paramount,90723,33.897122,-118.164432,Male,No,Yes,Yes,42,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.4,No,0,Los Angeles County
4193-IBKSW,San Pedro,90731,33.736387,-118.284363,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.75,No,0,Los Angeles County
5377-NDTOU,San Pedro,90732,33.744119,-118.31448,Female,No,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,91.05,No,0,Los Angeles County
2474-LCNUE,Sunset Beach,90742,33.719221,-118.073596,Female,No,Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,No,0,Orange County
0839-QNXME,Surfside,90743,33.728273,-118.085304,Female,No,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,No,0,Orange County
3506-OVLKD,Wilmington,90744,33.782068,-118.262263,Male,No,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.2,No,0,Los Angeles County
6650-VJONK,Carson,90746,33.859171,-118.252272,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.85,No,0,Los Angeles County
2178-PMGCJ,Long Beach,90802,33.752524,-118.210737,Male,No,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.7,No,0,Los Angeles County
7492-TAFJD,Long Beach,90803,33.760458,-118.129725,Male,No,Yes,No,7,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,38.55,No,0,Los Angeles County
2773-MADBQ,Long Beach,90804,33.783047,-118.1486,Female,No,No,No,36,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,53.1,No,0,Los Angeles County
6016-LVTJQ,Long Beach,90805,33.864622,-118.179626,Female,No,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,No,0,Los Angeles County
7860-KSUGX,Long Beach,90806,33.802664,-118.179971,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),64.45,No,0,Los Angeles County
8966-KZXXA,Long Beach,90807,33.830099,-118.182239,Male,No,Yes,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.1,No,0,Los Angeles County
5149-QYTTU,Long Beach,90814,33.771612,-118.143866,Female,No,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),95.15,No,0,Los Angeles County
2070-XYMFH,Long Beach,90815,33.797638,-118.11662,Female,Yes,No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.35,No,0,Los Angeles County
2085-BOJKI,Long Beach,90822,33.778436,-118.118648,Male,No,Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),96.65,No,0,Los Angeles County
0817-HSUSE,Altadena,91001,34.196837,-118.142236,Male,No,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.5,No,0,Los Angeles County
5442-PPTJY,Arcadia,91006,34.137319,-118.029837,Male,No,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,No,0,Los Angeles County
1927-QEWMY,Arcadia,91007,34.128284,-118.047732,Female,No,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,No,0,Los Angeles County
1663-MHLHE,Duarte,91010,34.145695,-117.95982,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.2,No,0,Los Angeles County
5663-QBGIS,La Canada Flintridge,91011,34.234912,-118.153729,Male,Yes,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),98.35,No,0,Los Angeles County
4450-MDZFX,Monrovia,91016,34.1528,-118.000482,Male,No,Yes,Yes,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),74.35,No,0,Los Angeles County
6701-DHKWQ,Montrose,91020,34.2112,-118.230625,Female,No,Yes,No,61,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),51.35,No,0,Los Angeles County
7554-AKDQF,Sierra Madre,91024,34.168686,-118.057505,Female,No,Yes,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.65,No,0,Los Angeles County
0794-YVSGE,Pasadena,91101,34.146635,-118.139225,Male,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,No,0,Los Angeles County
5423-BHIXO,Pasadena,91103,34.167465,-118.165327,Female,No,No,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.2,No,0,Los Angeles County
6908-VVYHM,Pasadena,91104,34.165383,-118.123752,Male,No,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.65,No,0,Los Angeles County
2959-EEXWB,Pasadena,91105,34.13946,-118.166649,Female,No,Yes,Yes,45,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.9,No,0,Los Angeles County
1839-UMACK,Pasadena,91106,34.139402,-118.128658,Male,No,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.05,No,0,Los Angeles County
3030-YDNRM,Pasadena,91107,34.159007,-118.087353,Male,No,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.85,No,0,Los Angeles County
7321-KKSDU,San Marino,91108,34.122671,-118.112911,Male,No,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.5,No,0,Los Angeles County
3402-XRIUO,Glendale,91201,34.17051,-118.289463,Female,Yes,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,63.55,No,0,Los Angeles County
8286-AFUYI,Glendale,91203,34.153338,-118.262974,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,47.95,No,0,Los Angeles County
8356-WUAOJ,Glendale,91205,34.13658,-118.245839,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.0,No,0,Los Angeles County
8058-DMYRU,Glendale,91208,34.195386,-118.238508,Male,Yes,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,No,0,Los Angeles County
9350-ZXYJC,La Crescenta,91214,34.239636,-118.245259,Female,No,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.3,No,0,Los Angeles County
8958-JPTRR,Calabasas,91302,34.130861,-118.68346,Female,No,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.3,No,0,Los Angeles County
6959-GQEGV,Canoga Park,91303,34.19829,-118.602203,Male,No,No,No,45,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.95,No,0,Los Angeles County
3173-WSSUE,Canoga Park,91304,34.224377,-118.632656,Female,No,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,No,0,Los Angeles County
1265-HVPZB,Winnetka,91306,34.209532,-118.577563,Male,No,Yes,No,59,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),66.4,No,0,Los Angeles County
4115-UMJFQ,West Hills,91307,34.199787,-118.68493,Male,No,No,No,69,No,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),35.75,No,0,Los Angeles County
7369-TRPFD,Chatsworth,91311,34.294142,-118.603883,Male,No,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.8,No,0,Los Angeles County
1098-KFQEC,Encino,91316,34.150354,-118.518292,Female,No,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,No,0,Los Angeles County
7190-XHTWJ,Newbury Park,91320,34.172071,-118.946262,Female,No,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.3,No,0,Ventura County
3537-RYBHH,Northridge,91324,34.238208,-118.55029,Female,Yes,Yes,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),67.45,No,0,Los Angeles County
5296-BFCYD,San Fernando,91340,34.286131,-118.435969,Male,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.1,No,0,Los Angeles County
9359-JANWS,North Hills,91343,34.238802,-118.482296,Female,No,Yes,No,65,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),58.9,No,0,Los Angeles County
3279-DYZQM,Santa Clarita,91350,34.502432,-118.41459,Male,No,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.45,No,0,Los Angeles County
0523-VNGTF,Sun Valley,91352,34.231053,-118.338307,Female,Yes,No,No,52,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.5,No,0,Los Angeles County
9575-IWCAZ,Valencia,91354,34.457005,-118.573726,Male,No,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.1,No,0,Los Angeles County
7105-MXJLL,Valencia,91355,34.43987,-118.644609,Female,Yes,Yes,No,26,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,60.7,No,0,Los Angeles County
7064-FRRSW,Tarzana,91356,34.157137,-118.548511,Male,Yes,No,No,48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,99.0,No,0,Los Angeles County
7940-UQQUG,Thousand Oaks,91360,34.214054,-118.88109,Female,No,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.4,No,0,Ventura County
3961-SXAXY,Thousand Oaks,91362,34.191842,-118.822796,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.05,No,0,Ventura County
7010-BRBUU,Woodland Hills,91364,34.153733,-118.593408,Male,No,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.1,No,0,Los Angeles County
3566-HJGPK,Woodland Hills,91367,34.178068,-118.615714,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.55,No,0,Los Angeles County
3062-ICYZQ,Oak Park,91377,34.19225,-118.776874,Female,No,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.8,No,0,Ventura County
9938-PRCVK,Stevenson Ranch,91381,34.364153,-118.615583,Female,No,Yes,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,No,0,Los Angeles County
0973-KYVNF,Castaic,91384,34.506627,-118.699048,Female,No,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),70.65,No,0,Los Angeles County
5129-HHMZC,Van Nuys,91401,34.178483,-118.431791,Female,No,Yes,No,43,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),86.45,No,0,Los Angeles County
9637-CDTKZ,Panorama City,91402,34.223768,-118.445461,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.1,No,0,Los Angeles County
3946-JEWRQ,Sherman Oaks,91403,34.147149,-118.463365,Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),95.2,No,0,Los Angeles County
7873-CVMAW,Van Nuys,91405,34.202494,-118.448048,Male,No,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.55,No,0,Los Angeles County
0463-WZZKO,Van Nuys,91406,34.195685,-118.490752,Male,No,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.75,No,0,Los Angeles County
4524-QCSSM,Encino,91436,34.152875,-118.486056,Male,No,No,No,26,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.65,No,0,Los Angeles County
5832-EXGTT,Burbank,91501,34.188339,-118.300942,Male,No,Yes,Yes,29,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.2,No,0,Los Angeles County
2039-JONDJ,Burbank,91504,34.213049,-118.317651,Male,No,No,No,27,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),55.45,No,0,Los Angeles County
7217-JYHOQ,Burbank,91505,34.174215,-118.345928,Male,No,Yes,Yes,24,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),70.3,No,0,Los Angeles County
6695-FRVEC,Burbank,91506,34.169706,-118.323548,Male,No,Yes,No,67,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.4,No,0,Los Angeles County
9894-QMIMJ,North Hollywood,91602,34.15136,-118.364786,Female,No,No,No,23,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),55.8,No,0,Los Angeles County
8069-YQQAJ,Studio City,91604,34.139082,-118.39275,Male,No,No,No,14,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,31.1,No,0,Los Angeles County
1636-NTNCO,Valley Village,91607,34.165783,-118.399795,Male,Yes,No,No,4,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.95,No,0,Los Angeles County
3466-WAESX,Rancho Cucamonga,91701,34.132275,-117.611478,Male,No,No,Yes,16,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.1,No,0,San Bernardino County
9281-PKKZE,Azusa,91702,34.174493,-117.87068,Female,No,Yes,No,46,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,43.95,No,0,Los Angeles County
3638-VBZTA,Baldwin Park,91706,34.098275,-117.967399,Male,No,No,No,68,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),86.5,No,0,Los Angeles County
7459-IMVYU,Chino Hills,91709,33.942895,-117.725644,Male,No,No,No,38,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,69.95,No,0,San Bernardino County
8563-OYMQY,Covina,91722,34.097345,-117.906736,Male,No,No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.95,No,0,Los Angeles County
0754-EEBDC,Covina,91723,34.084747,-117.886844,Male,No,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,No,0,Los Angeles County
5777-ZPQNC,Covina,91724,34.08111,-117.853935,Female,No,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.15,No,0,Los Angeles County
1951-IEYXM,Rancho Cucamonga,91730,34.10097,-117.57882,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.6,No,0,San Bernardino County
3318-NMQXL,El Monte,91731,34.079934,-118.046695,Male,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.0,No,0,Los Angeles County
1022-RKXDR,South El Monte,91733,34.04622,-118.053753,Female,No,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.85,No,0,Los Angeles County
2361-FJWNO,Rancho Cucamonga,91737,34.245289,-117.642503,Male,No,No,No,40,No,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),36.0,No,0,San Bernardino County
2272-UOINI,Rancho Cucamonga,91739,34.133809,-117.523724,Female,No,No,No,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,78.5,No,0,San Bernardino County
8232-UTFOZ,Glendora,91740,34.119363,-117.855059,Male,No,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.95,No,0,Los Angeles County
3750-YHRYO,Glendora,91741,34.14649,-117.849815,Male,No,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,No,0,Los Angeles County
6637-KYRCV,La Puente,91744,34.031441,-117.936436,Female,No,Yes,Yes,5,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.5,No,0,Los Angeles County
5668-MEISB,Hacienda Heights,91745,33.998471,-117.973758,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),106.1,No,0,Los Angeles County
0129-QMPDR,La Puente,91746,34.038983,-117.991372,Male,No,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.5,No,0,Los Angeles County
7188-CBBBA,Rowland Heights,91748,33.976753,-117.897367,Female,No,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,95.5,No,0,Los Angeles County
5356-CSVSQ,La Verne,91750,34.144703,-117.770299,Female,No,No,No,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,64.6,No,0,Los Angeles County
3221-CJMSG,Mira Loma,91752,33.999992,-117.535395,Male,No,No,No,24,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),51.1,No,0,Riverside County
3219-JQRSL,Monterey Park,91755,34.049172,-118.115022,Female,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.1,No,0,Los Angeles County
2801-NISEI,Mt Baldy,91759,34.231318,-117.662032,Male,No,No,No,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.95,No,0,San Bernardino County
4623-ZKHLY,Ontario,91762,34.057256,-117.667677,Male,No,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.45,No,0,San Bernardino County
6732-VAILE,Montclair,91763,34.072121,-117.698319,Male,No,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.95,No,0,San Bernardino County
